127.0.0.1 - - [29/Sep/2017:09:34:41 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [29/Sep/2017:09:34:42 +0900] "GET /web31_ItemCart3/index.jsp HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [29/Sep/2017:09:34:42 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [29/Sep/2017:09:34:44 +0900] "GET /web31_ItemCart3/itemList.do HTTP/1.1" 200 1417
0:0:0:0:0:0:0:1 - - [29/Sep/2017:09:34:44 +0900] "GET /web31_ItemCart3/img/berry.jpg HTTP/1.1" 200 68903
0:0:0:0:0:0:0:1 - - [29/Sep/2017:09:34:44 +0900] "GET /web31_ItemCart3/img/grape.jpg HTTP/1.1" 200 36844
0:0:0:0:0:0:0:1 - - [29/Sep/2017:09:34:44 +0900] "GET /web31_ItemCart3/img/lemon.jpg HTTP/1.1" 200 51523
0:0:0:0:0:0:0:1 - - [29/Sep/2017:09:34:44 +0900] "GET /web31_ItemCart3/img/kiui.jpg HTTP/1.1" 200 71719
0:0:0:0:0:0:0:1 - - [29/Sep/2017:09:34:44 +0900] "GET /web31_ItemCart3/img/gual.jpg HTTP/1.1" 200 56963
0:0:0:0:0:0:0:1 - - [29/Sep/2017:09:34:45 +0900] "GET /web31_ItemCart3/itemView.do?itemnumber=3333 HTTP/1.1" 200 932
0:0:0:0:0:0:0:1 - - [29/Sep/2017:09:34:47 +0900] "GET /web31_ItemCart3/itemCartAdd.do?itemid=3333 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:09:34:47 +0900] "GET /web31_ItemCart3/itemCartList.do HTTP/1.1" 200 1562
0:0:0:0:0:0:0:1 - - [29/Sep/2017:09:34:47 +0900] "GET /web31_ItemCart3/img/down.jpg HTTP/1.1" 200 183750
0:0:0:0:0:0:0:1 - - [29/Sep/2017:09:34:47 +0900] "GET /web31_ItemCart3/img/up.jpg HTTP/1.1" 200 183038
0:0:0:0:0:0:0:1 - - [29/Sep/2017:09:34:49 +0900] "POST /web31_ItemCart3/itemCartRemove.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:09:34:49 +0900] "GET /web31_ItemCart3/itemCartList.do HTTP/1.1" 200 1562
0:0:0:0:0:0:0:1 - - [29/Sep/2017:09:34:49 +0900] "GET /web31_ItemCart3/img/gual.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:09:34:50 +0900] "POST /web31_ItemCart3/itemCartRemove.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:09:34:50 +0900] "GET /web31_ItemCart3/itemCartList.do HTTP/1.1" 200 1562
0:0:0:0:0:0:0:1 - - [29/Sep/2017:09:34:50 +0900] "POST /web31_ItemCart3/itemCartRemove.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:09:34:50 +0900] "GET /web31_ItemCart3/itemCartList.do HTTP/1.1" 200 1562
0:0:0:0:0:0:0:1 - - [29/Sep/2017:09:34:51 +0900] "GET /web31_ItemCart3/img/lemon.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:09:34:51 +0900] "GET /web31_ItemCart3/img/kiui.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:09:34:51 +0900] "GET /web31_ItemCart3/img/grape.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:09:34:51 +0900] "GET /web31_ItemCart3/img/berry.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:09:34:51 +0900] "GET /web31_ItemCart3/itemList.do HTTP/1.1" 200 1417
0:0:0:0:0:0:0:1 - - [29/Sep/2017:09:34:51 +0900] "GET /web31_ItemCart3/img/grape.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:09:34:51 +0900] "GET /web31_ItemCart3/img/berry.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:09:34:51 +0900] "GET /web31_ItemCart3/img/kiui.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:09:34:51 +0900] "GET /web31_ItemCart3/img/lemon.jpg HTTP/1.1" 304 -
